id,filename,class,nn1
1568,VALID_5138_f_131897860931806946L,f,test
1569,TRAIN_1976_p_131897806464861580L,p,train
1570,TRAIN_1212_p_131897804370361314L,p,train
1571,VALID_840_a_131897799129966722L,a,test
1572,VALID_5418_p_131897859475012071L,p,test
1573,TRAIN_1274_a_131897795669715040L,a,train
1574,VALID_3123_b_131897823912785143L,b,test
1575,TRAIN_3297_b_131897826559548265L,b,train
1576,TRAIN_3394_a_131897828026190080L,a,train
1577,TRAIN_3765_a_131897833746814600L,a,train
1578,TRAIN_2237_f_131897819007895165L,f,train
1579,VALID_3059_f_131897830878020320L,f,test
1580,TRAIN_2565_a_131897823765622237L,a,train
1581,TRAIN_3031_a_131897822507095110L,a,train
1582,TRAIN_346_b_131897792382321743L,b,train
1583,VALID_5101_p_131897854556157275L,p,test
1584,VALID_137_p_131897789589368202L,p,test
1585,TRAIN_3777_f_131897841211568657L,f,train
1586,TRAIN_3481_a_131897836880667266L,a,train
1587,TRAIN_726_a_131897797551613407L,a,train
1588,TRAIN_2649_b_131897824984437639L,b,train
1589,TRAIN_1933_f_131897814665670856L,f,train
1590,VALID_3124_b_131897823935520788L,b,test
1591,TEST_4314_p_131897848928155060L,p,valid
1592,TEST_183_p_131897779492695794L,p,valid
1593,TRAIN_472_a_131897783790690439L,a,train
1594,VALID_2268_f_131897810864608576L,f,test
1595,TRAIN_2789_f_131897818863945201L,f,train
1596,TRAIN_2155_f_131897809160703464L,f,train
1597,TRAIN_3697_a_131897840023150852L,a,train
1598,TRAIN_2614_b_131897824477380782L,b,train
1599,TRAIN_5032_f_131897859391585621L,f,train
1600,VALID_1973_a_131897815217413623L,a,test
1601,TRAIN_454_a_131897783503390466L,a,train
1602,TEST_1413_b_131897797868014647L,b,valid
1603,TRAIN_4553_f_131897852394401636L,f,train
1604,TRAIN_2489_p_131897814258994816L,p,train
1605,TEST_1075_b_131897792661764552L,b,valid
1606,VALID_5165_f_131897855542204727L,f,test
1607,VALID_5102_a_131897860416005077L,a,test
1608,VALID_1706_b_131897811476934966L,b,test
1609,TRAIN_3764_f_131897841012495964L,f,train
1610,TRAIN_297_b_131897781157697344L,b,train
1611,VALID_2119_f_131897808612855939L,f,test
1612,TRAIN_1087_b_131897792830977077L,b,train
1613,TRAIN_1622_f_131897810294379452L,f,train
1614,TRAIN_258_a_131897791181014662L,a,train
1615,VALID_5581_b_131897862016301918L,b,test
1616,TRAIN_2575_f_131897815553601726L,f,train
1617,TRAIN_4934_p_131897857948552773L,p,train
1618,TRAIN_1219_f_131897804474429762L,f,train
1619,TRAIN_3406_p_131897828208878325L,p,train
1620,TEST_1436_p_131897807588630709L,p,valid
1621,TRAIN_4151_b_131897846552429863L,b,train
1622,TRAIN_1345_b_131897796818227716L,b,train
1623,TRAIN_2666_p_131897825225076216L,p,train
1624,TRAIN_1398_b_131897807022512095L,b,train
1625,TRAIN_1058_p_131897792405658118L,p,train
1626,VALID_2853_b_131897819819512880L,b,test
1627,TRAIN_5484_p_131897866048909135L,p,train
1628,VALID_4241_p_131897841227336615L,p,test
1629,TRAIN_2409_f_131897821531599662L,f,train
1630,TRAIN_675_b_131897796868927339L,b,train
1631,TRAIN_3976_a_131897844034506249L,a,train
1632,TRAIN_5348_p_131897864056634080L,p,train
1633,VALID_5702_b_131897863826785387L,b,test
1634,TRAIN_3345_f_131897834981522493L,f,train
1635,TRAIN_5509_f_131897866389080103L,f,train
1636,TRAIN_561_a_131897795308233646L,a,train
1637,TRAIN_3797_a_131897841497362028L,a,train
1638,TRAIN_763_a_131897798053198891L,a,train
1639,TRAIN_2606_b_131897816024043590L,b,train
1640,TEST_5810_b_131897865503051048L,b,valid
1641,TRAIN_535_b_131897794948530509L,b,train
1642,VALID_1843_p_131897804407795546L,p,test
1643,TRAIN_3585_p_131897830980761081L,p,train
1644,TRAIN_3399_f_131897828094287754L,f,train
1645,TRAIN_1232_p_131897794983556698L,p,train
1646,TRAIN_1494_f_131897808439918794L,f,train
1647,TRAIN_1543_a_131897799849658897L,a,train
1648,TRAIN_4452_p_131897844492806295L,p,train
1649,TRAIN_4803_a_131897856044875891L,a,train
1650,TRAIN_4599_a_131897846780275313L,a,train
1651,TRAIN_3176_a_131897832561711346L,a,train
1652,VALID_2883_a_131897828329761987L,a,test
1653,VALID_4041_a_131897838094802524L,a,test
1654,TRAIN_5541_f_131897866826912694L,f,train
1655,TRAIN_4085_f_131897838780134223L,f,train
1656,TEST_3512_f_131897829865238253L,f,valid
1657,TRAIN_3324_p_131897826945102923L,p,train
1658,TRAIN_2718_p_131897825986832996L,p,train
1659,VALID_1710_f_131897811530530816L,f,test
1660,TRAIN_2898_b_131897828540396475L,b,train
1661,TRAIN_1847_f_131897813442335437L,f,train
1662,TRAIN_3738_b_131897840635540404L,b,train
1663,TRAIN_1501_b_131897799213935501L,b,train
1664,TRAIN_809_a_131897788780923954L,a,train
1665,TRAIN_294_a_131897791671349960L,a,train
1666,TRAIN_1312_f_131897805787925247L,f,train
1667,VALID_4302_a_131897848758928416L,a,test
1668,TRAIN_4962_b_131897858383569235L,b,train
1669,TRAIN_5151_p_131897861116346126L,p,train
1670,TRAIN_3954_b_131897836719135886L,b,train
1671,TRAIN_2203_f_131897818505061958L,f,train
1672,VALID_5364_b_131897858670769324L,b,test
1673,TRAIN_5148_f_131897861077595545L,f,train
1674,TEST_4671_p_131897854095885191L,p,valid
1675,TRAIN_455_b_131897783517673789L,b,train
1676,VALID_5290_f_131897863220349351L,f,test
1677,TRAIN_4339_p_131897849290826890L,p,train
1678,VALID_5351_p_131897864098200311L,p,test
1679,TEST_4501_a_131897851641086454L,a,valid
1680,TRAIN_1420_b_131897807350338081L,b,train
1681,TRAIN_171_f_131897790042825349L,f,train
1682,VALID_3156_p_131897824423052532L,p,test
1683,TRAIN_738_f_131897797703963823L,f,train
1684,TRAIN_2431_f_131897813356926369L,f,train
1685,VALID_5774_b_131897864941711429L,b,test
1686,TRAIN_2941_p_131897829167306174L,p,train
1687,VALID_2716_b_131897825954956957L,b,test
1688,TRAIN_947_p_131897800630035883L,p,train
1689,TRAIN_2420_p_131897821705670266L,p,train
1690,TRAIN_3515_p_131897829910590301L,p,train
1691,VALID_101_f_131897789108566489L,f,test
1692,TRAIN_2467_b_131897822363044722L,b,train
1693,TRAIN_5920_b_131897872279659672L,b,train
1694,TRAIN_4994_a_131897858837649937L,a,train
1695,TRAIN_3855_f_131897842316619502L,f,train
1696,VALID_230_a_131897790820376042L,a,test
1697,TRAIN_2938_p_131897829127460346L,p,train
1698,VALID_420_p_131897793389866420L,p,test
1699,TRAIN_5434_a_131897865295437693L,a,train
1700,TRAIN_2917_b_131897820773066635L,b,train
1701,TRAIN_4174_a_131897846891974031L,a,train
1702,TRAIN_67_p_131897777862914219L,p,train
1703,TRAIN_224_b_131897780073285583L,b,train
1704,VALID_3819_p_131897841797845620L,p,test
1705,TRAIN_533_p_131897784698124852L,p,train
1706,VALID_5226_b_131897856504885539L,b,test
1707,VALID_285_p_131897791553062330L,p,test
1708,VALID_4399_f_131897843674673230L,f,test
1709,TRAIN_5129_f_131897860797271673L,f,train
1710,TRAIN_3944_a_131897836573697530L,a,train
1711,VALID_4900_p_131897851423932557L,p,test
1712,TRAIN_2806_b_131897827223458087L,b,train
1713,TRAIN_5038_a_131897853569505923L,a,train
1714,TEST_5910_f_131897872146683608L,f,valid
1715,TRAIN_4500_p_131897845220417362L,p,train
1716,TRAIN_603_p_131897785721149404L,p,train
1717,VALID_4975_a_131897852593809802L,a,test
1718,TRAIN_2355_a_131897820733280901L,a,train
1719,TRAIN_525_a_131897794815242431L,a,train
1720,VALID_3234_a_131897825615237792L,a,test
1721,TRAIN_3853_p_131897842284429859L,p,train
1722,TRAIN_1206_p_131897794585158446L,p,train
1723,TRAIN_3521_f_131897830003216756L,f,train
1724,TRAIN_2825_b_131897819400761977L,b,train
1725,TRAIN_4034_a_131897844863760522L,a,train
1726,TEST_5604_f_131897867724765898L,f,valid
1727,TRAIN_5339_p_131897863933503918L,p,train
1728,TRAIN_4584_a_131897852841452800L,a,train
1729,TRAIN_3090_p_131897823418596404L,p,train
1730,TRAIN_544_f_131897784872502693L,f,train
1731,TRAIN_1122_f_131897793343457109L,f,train
1732,TRAIN_2011_a_131897807000063758L,a,train
1733,TRAIN_3089_a_131897823405856051L,a,train
1734,TRAIN_1850_b_131897804512318553L,b,train
1735,TRAIN_4924_a_131897857808389269L,a,train
1736,VALID_1438_a_131897807617694493L,a,test
1737,VALID_123_a_131897778621038204L,a,test
1738,TRAIN_1983_b_131897806574692942L,b,train
1739,TRAIN_3973_a_131897837007634317L,a,train
1740,TRAIN_5502_a_131897866288763407L,a,train
1741,TRAIN_4101_a_131897839034803835L,a,train
1742,TRAIN_1796_p_131897812736834570L,p,train
1743,TRAIN_5189_b_131897855917417937L,b,train
1744,TRAIN_5676_p_131897868748714931L,p,train
1745,VALID_5013_f_131897853190758271L,f,test
1746,TRAIN_2241_p_131897810467283523L,p,train
1747,TRAIN_1345_b_131897806273260183L,b,train
1748,TRAIN_5124_b_131897854901805301L,b,train
1749,TRAIN_5577_b_131897861950270239L,b,train
1750,TRAIN_609_b_131897785801428825L,b,train
1751,TRAIN_3992_a_131897844262641481L,a,train
1752,TRAIN_3450_p_131897836439399569L,p,train
1753,TEST_171_p_131897779316463124L,p,valid
1754,TRAIN_5207_p_131897856199114968L,p,train
1755,TRAIN_3159_b_131897832306074647L,b,train
1756,TRAIN_3877_a_131897842623975929L,a,train
1757,TRAIN_1411_a_131897797837025609L,a,train
1758,TRAIN_3423_f_131897828459910732L,f,train
1759,TRAIN_4195_a_131897840523694312L,a,train
1760,VALID_1134_a_131897793522804341L,a,test
1761,TRAIN_1451_a_131897807816454356L,a,train
1762,VALID_823_f_131897788985164246L,f,test
1763,TRAIN_794_b_131897788551865072L,b,train
1764,TRAIN_4853_f_131897850725471258L,f,train
1765,TRAIN_5660_b_131897868528706988L,b,train
1766,TRAIN_1060_p_131897792435612971L,p,train
1767,TRAIN_232_f_131897780189954816L,f,train
1768,TRAIN_676_a_131897786795235804L,a,train
1769,VALID_2486_a_131897814211218945L,a,test
1770,TRAIN_3378_b_131897835442323645L,b,train
1771,TRAIN_5239_b_131897862447186795L,b,train
1772,TRAIN_832_p_131897799024025129L,p,train
1773,TRAIN_2378_p_131897821072828223L,p,train
1774,TRAIN_3980_f_131897844088728277L,f,train
1775,TRAIN_3466_f_131897829136610523L,f,train
1776,TRAIN_3615_p_131897838819344499L,p,train
1777,TRAIN_4980_f_131897858636860771L,f,train
1778,TRAIN_3192_b_131897824970164064L,b,train
1779,TRAIN_2444_a_131897822043029594L,a,train
1780,TRAIN_4654_a_131897847640218148L,a,train
1781,TRAIN_3185_a_131897824868723451L,a,train
1782,TRAIN_4421_p_131897844015936262L,p,train
1783,TRAIN_3363_b_131897835227627796L,b,train
1784,TEST_1167_b_131897794003369619L,b,valid
1785,TRAIN_3821_b_131897841825658405L,b,train
1786,TRAIN_4509_b_131897851760155198L,b,train
1787,TEST_798_p_131897798555566625L,p,valid
1788,TRAIN_2348_b_131897820632808645L,b,train
1789,VALID_781_p_131897798310712139L,p,test
1790,VALID_3356_a_131897835139654557L,a,test
1791,TEST_4304_f_131897842196568883L,f,valid
1792,TRAIN_3572_b_131897838176190553L,b,train
1793,VALID_3034_f_131897822550732836L,f,test
1794,VALID_402_f_131897782711346655L,f,test
1795,VALID_3988_f_131897844203420354L,f,test
1796,TRAIN_1529_a_131897799644089147L,a,train
1797,TRAIN_1162_p_131897803656734091L,p,train
1798,TRAIN_1197_f_131897804162540403L,f,train
1799,TRAIN_115_a_131897778506007145L,a,train
1800,TRAIN_5015_f_131897859155949424L,f,train
1801,TRAIN_1539_b_131897809104482546L,b,train
1802,TRAIN_4287_p_131897841945414213L,p,train
1803,VALID_1646_a_131897810621425792L,a,test
1804,VALID_2332_f_131897820419518101L,f,test
1805,VALID_5229_a_131897856551878606L,a,test
1806,VALID_2132_a_131897817454855258L,a,test
1807,TRAIN_1626_f_131897801140737333L,f,train
1808,TRAIN_4965_p_131897858425132923L,p,train
1809,TEST_2245_a_131897810528173239L,a,valid
1810,TRAIN_1801_b_131897812813869739L,b,train
1811,TRAIN_970_f_131897800950518562L,f,train
1812,TRAIN_1401_p_131897807068138584L,p,train
1813,VALID_1230_f_131897804625372823L,f,test
1814,TRAIN_1721_f_131897811677412608L,f,train
1815,TRAIN_2576_a_131897823919067424L,a,train
1816,VALID_2677_a_131897817094430292L,a,test
1817,TRAIN_5497_f_131897866221260458L,f,train
1818,TRAIN_5963_f_131897872897342461L,f,train
1819,TRAIN_336_f_131897792235126075L,f,train
1820,VALID_5389_b_131897859041102687L,b,test
1821,TRAIN_2691_p_131897817303786285L,p,train
1822,TRAIN_5150_b_131897855304687589L,b,train
1823,TRAIN_637_f_131897796333901597L,f,train
1824,TEST_784_f_131897798352901794L,f,valid
1825,TRAIN_3794_p_131897834196483592L,p,train
1826,VALID_3215_p_131897825329104327L,p,test
1827,TRAIN_4167_f_131897846791813826L,f,train
1828,TRAIN_5590_f_131897867527412825L,f,train
1829,TRAIN_3073_f_131897831076155226L,f,train
1830,VALID_2827_a_131897827515503788L,a,test
1831,TRAIN_1070_b_131897802363863929L,b,train
1832,TRAIN_2781_b_131897818738034712L,b,train
1833,VALID_1706_b_131897802306680402L,b,test
1834,TRAIN_4885_f_131897857211333573L,f,train
1835,VALID_296_f_131897791695412581L,f,test
1836,TRAIN_5404_p_131897859262708193L,p,train
1837,TRAIN_3880_p_131897842666165507L,p,train
1838,TRAIN_3303_p_131897834365556669L,p,train
1839,VALID_1409_p_131897807179706383L,p,test
1840,VALID_4410_b_131897843847935796L,b,test
1841,VALID_4406_f_131897843777577653L,f,test
1842,TRAIN_1004_a_131897791598456355L,a,train
1843,TRAIN_5858_a_131897866260730193L,a,train
1844,TRAIN_3118_a_131897831718233432L,a,train
1845,TRAIN_5875_b_131897866524883101L,b,train
1846,TEST_5665_p_131897863274327590L,p,valid
1847,TEST_4228_p_131897841015784511L,p,valid
1848,TRAIN_5944_p_131897867590849230L,p,train
1849,TRAIN_1042_a_131897801966189479L,a,train
1850,TRAIN_1297_p_131897805574792071L,p,train
1851,TRAIN_1087_p_131897802602468346L,p,train
1852,TRAIN_2270_b_131897819500102836L,b,train
1853,TRAIN_4212_f_131897840777019417L,f,train
1854,TRAIN_1966_a_131897815110690120L,a,train
1855,VALID_3546_a_131897830378544945L,a,test
1856,VALID_1135_b_131897803293280799L,b,test
1857,TRAIN_3552_f_131897837882115206L,f,train
1858,TRAIN_4679_f_131897848025020218L,f,train
1859,TRAIN_2610_a_131897824428003314L,a,train
1860,TRAIN_3746_b_131897833448887339L,b,train
1861,TEST_1452_p_131897807829579487L,p,valid
1862,TRAIN_5199_a_131897861824032328L,a,train
1863,VALID_3962_a_131897836842276048L,a,test
1864,TRAIN_1895_a_131897814125179435L,a,train
1865,TRAIN_602_b_131897795857788848L,b,train
1866,TRAIN_3224_f_131897833247529914L,f,train
1867,TRAIN_1310_p_131897796271285266L,p,train
1868,TRAIN_4788_p_131897849723872480L,p,train
1869,VALID_4182_a_131897847008697625L,a,test
1870,TRAIN_3754_a_131897833567066851L,a,train
1871,VALID_3893_f_131897842845859654L,f,test
1872,VALID_4674_b_131897847943788452L,b,test
1873,VALID_5560_p_131897861685759747L,p,test
1874,TRAIN_3339_f_131897827175889832L,f,train
1875,TRAIN_3314_f_131897834523533965L,f,train
1876,TRAIN_3714_p_131897840270035914L,p,train
1877,VALID_3380_f_131897827795553579L,f,test
1878,TRAIN_4330_p_131897849157227362L,p,train
1879,VALID_4089_b_131897838842678420L,b,test
1880,TEST_1131_p_131897793479011411L,p,valid
1881,TRAIN_5655_p_131897868458235892L,p,train
1882,TRAIN_3033_b_131897822535475109L,b,train
1883,TEST_5624_f_131897862665983337L,f,valid
1884,VALID_5911_f_131897872160122352L,f,test
1885,TRAIN_1493_p_131897799081188905L,p,train
1886,VALID_5031_b_131897853457646218L,b,test
1887,TRAIN_4564_b_131897846224685225L,b,train
1888,TRAIN_5198_p_131897856058316832L,p,train
1889,TRAIN_3410_b_131897835895315249L,b,train
1890,TRAIN_3955_a_131897836738649251L,a,train
1891,VALID_4491_f_131897845080114232L,f,test
1892,VALID_3696_f_131897832685658107L,f,test
1893,TRAIN_4627_p_131897847213982938L,p,train
1894,TRAIN_5395_b_131897859131466875L,b,train
1895,TRAIN_4930_f_131897857891049604L,f,train
1896,TRAIN_3265_a_131897833833499142L,a,train
1897,TEST_2848_f_131897819743134489L,f,valid
1898,TRAIN_3762_f_131897840983900821L,f,train
1899,VALID_2834_f_131897827618320146L,f,test
1900,VALID_131_a_131897789510147201L,a,test
1901,TRAIN_2159_f_131897809214818988L,f,train
1902,TRAIN_3379_b_131897827779391022L,b,train
1903,VALID_1086_b_131897802587935599L,b,test
1904,TRAIN_5453_p_131897865574043712L,p,train
1905,TRAIN_1018_b_131897791806307575L,b,train
1906,VALID_2400_p_131897821408156414L,p,test
1907,TRAIN_1896_p_131897805218649168L,p,train
1908,VALID_5949_b_131897872702959291L,b,test
1909,TRAIN_477_f_131897783864961557L,f,train
1910,TRAIN_473_a_131897783805970543L,a,train
1911,VALID_833_b_131897789132816128L,b,test
1912,TRAIN_2926_a_131897828936355688L,a,train
1913,TRAIN_3398_f_131897828081926284L,f,train
1914,VALID_198_p_131897779705597728L,p,test
1915,TRAIN_858_b_131897799379040644L,b,train
1916,TRAIN_5965_a_131897872925311318L,a,train
1917,TRAIN_2936_a_131897829100427803L,a,train
1918,VALID_5048_b_131897853727893898L,b,test
1919,TRAIN_4370_f_131897843207100756L,f,train
1920,TRAIN_3717_f_131897840312693392L,f,train
1921,TRAIN_5247_p_131897856837353019L,p,train
1922,TRAIN_1055_p_131897802150572011L,p,train
1923,TRAIN_2711_p_131897825878547020L,p,train
1924,TRAIN_51_p_131897788474632618L,p,train
1925,TRAIN_1050_b_131897792290516889L,b,train
1926,VALID_887_p_131897799782810299L,p,test
1927,VALID_423_a_131897783029555865L,a,test
1928,TRAIN_1549_f_131897809246364740L,f,train
1929,TRAIN_74_a_131897788773863992L,a,train
1930,TRAIN_3000_a_131897830033758540L,a,train
1931,TRAIN_758_p_131897788022968243L,p,train
1932,TRAIN_1465_a_131897808017398812L,a,train
1933,VALID_3903_a_131897835925681863L,a,test
1934,TRAIN_3698_b_131897832717401329L,b,train
1935,TRAIN_981_a_131897791269591046L,a,train
1936,TRAIN_3117_a_131897823826972930L,a,train
1937,TRAIN_1447_a_131897807758951880L,a,train
1938,VALID_4173_b_131897846877442815L,b,test
1939,TRAIN_2282_b_131897811082819490L,b,train
1940,TRAIN_5249_b_131897856865751276L,b,train
1941,TRAIN_1034_a_131897792062059142L,a,train
1942,TRAIN_2362_a_131897812303768837L,a,train
1943,TRAIN_4642_p_131897853674927943L,p,train
1944,TEST_5474_f_131897860346527633L,f,valid
1945,VALID_1404_a_131897797720717035L,a,test
1946,VALID_4128_f_131897846215226565L,f,test
1947,VALID_5697_p_131897863755768502L,p,test
1948,TRAIN_282_f_131897780942910717L,f,train
1949,VALID_330_b_131897781647576623L,b,test
1950,TRAIN_1386_b_131897797436624904L,b,train
1951,TRAIN_5921_f_131897872296691058L,f,train
1952,TRAIN_3237_f_131897825658855871L,f,train
1953,VALID_1644_f_131897810595174360L,f,test
1954,TEST_4748_a_131897849101094094L,a,valid
1955,TRAIN_617_a_131897796061235086L,a,train
1956,TRAIN_4088_a_131897845632232819L,a,train
1957,TRAIN_488_b_131897784027496063L,b,train
1958,TRAIN_2612_p_131897816116618160L,p,train
1959,TRAIN_5519_f_131897866521116178L,f,train
1960,VALID_5045_p_131897859582687935L,p,test
1961,TRAIN_1969_a_131897815158973523L,a,train
1962,TRAIN_256_a_131897791157731952L,a,train
1963,VALID_5752_p_131897869862201555L,p,test
1964,TRAIN_1348_a_131897796864751236L,a,train
1965,VALID_4155_f_131897846613526338L,f,test
1966,TRAIN_1149_b_131897803479383031L,b,train
1967,VALID_193_f_131897790330037978L,f,test
1968,TEST_5000_p_131897852986044720L,p,valid
1969,TRAIN_1244_p_131897804827882042L,p,train
1970,TRAIN_3887_p_131897842768669412L,p,train
1971,TEST_4194_a_131897847182610692L,a,valid
1972,TRAIN_1833_a_131897813253107105L,a,train
1973,VALID_3264_p_131897826061259939L,p,test
1974,TRAIN_5122_f_131897860700392048L,f,train
1975,TRAIN_2039_b_131897807410386056L,b,train
1976,TRAIN_1295_p_131897796018804884L,p,train
1977,TRAIN_5287_b_131897863180814973L,b,train
1978,TRAIN_1947_b_131897814848959333L,b,train
1979,TRAIN_4317_b_131897842411983676L,b,train
1980,TRAIN_4402_a_131897850204149175L,a,train
1981,TRAIN_167_f_131897779262229089L,f,train
1982,TRAIN_4954_p_131897852262213354L,p,train
1983,VALID_3919_f_131897843224157591L,f,test
1984,VALID_4158_p_131897839941769567L,p,test
1985,TRAIN_323_p_131897792059803652L,p,train
1986,TEST_2342_b_131897811996144660L,b,valid
1987,TRAIN_490_a_131897794345068684L,a,train
1988,TRAIN_3856_f_131897842328963418L,f,train
1989,TRAIN_5200_b_131897861837627146L,b,train
1990,TEST_725_a_131897797540049913L,a,valid
1991,TRAIN_138_a_131897778848681749L,a,train
1992,TRAIN_3749_b_131897840794207173L,b,train
1993,TRAIN_5273_f_131897857243272226L,f,train
1994,TRAIN_3266_b_131897833845062112L,b,train
1995,TRAIN_5843_p_131897866017819709L,p,train
1996,TRAIN_2221_p_131897818776166417L,p,train
1997,TRAIN_2251_f_131897819217122721L,f,train
1998,VALID_4383_f_131897849938980696L,f,test
1999,TRAIN_4379_b_131897849874601719L,b,train
2000,TRAIN_4377_a_131897843315481925L,a,train
2001,TEST_5012_p_131897853176220228L,p,valid
2002,TRAIN_3582_b_131897830934807220L,b,train
2003,TRAIN_2770_b_131897818557375220L,b,train
2004,TRAIN_4728_b_131897854926703488L,b,train
2005,TRAIN_1859_p_131897813609686192L,p,train
2006,VALID_2294_b_131897811264202526L,b,test
2007,TRAIN_2027_b_131897815977602481L,b,train
2008,TRAIN_3433_f_131897836207983276L,f,train
2009,TRAIN_211_p_131897779887787482L,p,train
2010,TRAIN_3019_b_131897822315407173L,b,train
2011,TRAIN_5966_a_131897867929197463L,a,train
2012,VALID_4691_a_131897854403400117L,a,test
2013,TRAIN_613_a_131897796005138788L,a,train
2014,TRAIN_22_a_131897788107741683L,a,train
2015,TRAIN_1924_a_131897805653868014L,a,train
2016,TRAIN_4689_p_131897848177295899L,p,train
2017,TRAIN_885_a_131897799751559183L,a,train
2018,TRAIN_4416_p_131897850410408073L,p,train
2019,TRAIN_1830_f_131897804212349813L,f,train
2020,TRAIN_1770_b_131897803286006673L,b,train
2021,TRAIN_5613_a_131897867853834267L,a,train
2022,TRAIN_741_p_131897797748810543L,p,train
2023,TEST_2631_b_131897824733018333L,b,valid
2024,TRAIN_5901_b_131897872014801514L,b,train
2025,VALID_1176_p_131897794135459141L,p,test
2026,TRAIN_5046_a_131897859601907742L,a,train
2027,TRAIN_4011_a_131897837607761791L,a,train
2028,TRAIN_3930_a_131897836348381250L,a,train
2029,TRAIN_1975_b_131897806448695959L,b,train
2030,TRAIN_372_b_131897782253159304L,b,train
2031,VALID_1576_p_131897809626536423L,p,test
2032,TRAIN_3759_p_131897833656526569L,p,train
2033,VALID_5056_b_131897853856562986L,b,test
2034,TRAIN_997_f_131897801317409666L,f,train
2035,TRAIN_2008_b_131897806955722289L,b,train
2036,TEST_4872_a_131897850994237985L,a,valid
2037,VALID_4995_a_131897858850775067L,a,test
2038,VALID_31_b_131897777373075205L,b,test
2039,TRAIN_4686_p_131897854327303234L,p,train
2040,TRAIN_424_p_131897793447525081L,p,train
2041,TRAIN_3334_a_131897827096430705L,a,train
2042,TEST_5215_a_131897862068574626L,a,valid
2043,TRAIN_4868_b_131897856961477282L,b,train
2044,VALID_760_f_131897788056867051L,f,test
2045,VALID_3325_a_131897826956369490L,a,test
2046,VALID_3111_a_131897831615658502L,a,test
2047,VALID_3441_b_131897828746976995L,b,test
2048,VALID_5734_p_131897864304084820L,p,test
2049,TRAIN_5448_b_131897859927974094L,b,train
2050,VALID_5019_b_131897853282542683L,b,test
2051,VALID_4796_b_131897855934870651L,b,test
2052,TRAIN_4413_b_131897850369000724L,b,train
2053,TRAIN_786_f_131897798383683846L,f,train
2054,TRAIN_2670_p_131897825285547218L,p,train
2055,TRAIN_129_p_131897778709105957L,p,train
2056,TRAIN_3207_b_131897832997361059L,b,train
2057,TRAIN_5433_b_131897865283250008L,b,train
2058,VALID_553_p_131897795191197704L,p,test
2059,TRAIN_4299_f_131897848711582533L,f,train
2060,TRAIN_5631_p_131897862771325629L,p,train
2061,TEST_5160_f_131897861237758102L,f,valid
2062,TRAIN_2125_b_131897817361570679L,b,train
2063,VALID_376_a_131897782306260383L,a,test
2064,VALID_1769_b_131897803271713326L,b,test
2065,VALID_3854_b_131897842301931206L,b,test
2066,VALID_5845_p_131897871210544364L,p,test
2067,TRAIN_1379_p_131897797323521387L,p,train
2068,TEST_2410_f_131897821544725659L,f,valid
2069,TRAIN_4164_a_131897846751499816L,a,train
2070,VALID_2460_f_131897813802625553L,f,test
2071,TRAIN_4023_p_131897837811866793L,p,train
2072,VALID_4713_a_131897854715600618L,a,test
2073,TRAIN_3538_f_131897830246855699L,f,train
2074,TRAIN_3371_p_131897835350601673L,p,train
2075,TRAIN_3940_b_131897843521828552L,b,train
2076,TEST_4974_a_131897858547013213L,a,valid
2077,VALID_2283_p_131897819699642814L,p,test
2078,TRAIN_5503_b_131897860807005968L,b,train
2079,TRAIN_2141_f_131897817582205213L,f,train
2080,TRAIN_3405_b_131897828187473620L,b,train
2081,TRAIN_2030_p_131897816014635395L,p,train
2082,TEST_1360_p_131897797039994780L,p,valid
2083,TRAIN_1460_a_131897798578163443L,a,train
2084,TRAIN_1577_b_131897809638724072L,b,train
2085,TRAIN_3929_p_131897836329660001L,p,train
2086,TEST_1316_b_131897796374075957L,b,valid
2087,VALID_1417_b_131897807303461774L,b,test
2088,TRAIN_4040_p_131897844952358205L,p,train
2089,TRAIN_5329_a_131897858142394653L,a,train
2090,VALID_643_a_131897786299537581L,a,test
2091,TRAIN_4155_b_131897839891548684L,b,train
2092,TRAIN_3553_a_131897830488663914L,a,train
2093,TEST_734_b_131897797653024414L,b,valid
2094,TRAIN_3412_b_131897828295563739L,b,train
2095,TEST_1424_p_131897807408153207L,p,valid
2096,TRAIN_2329_b_131897820374517217L,b,train
2097,TRAIN_3256_a_131897825927599632L,a,train
2098,TEST_2148_b_131897809047817826L,b,valid
2099,VALID_4269_a_131897848276722028L,a,test
2100,VALID_1376_p_131897806706091041L,p,test
2101,TRAIN_5410_p_131897864953079279L,p,train
2102,VALID_1154_f_131897803548448608L,f,test
2103,VALID_174_a_131897790079700624L,a,test
2104,TRAIN_1267_b_131897795544832550L,b,train
2105,TRAIN_3803_b_131897841583302729L,b,train
2106,TRAIN_2024_a_131897807191410183L,a,train
2107,VALID_365_b_131897782145333909L,b,test
2108,TRAIN_4561_b_131897846176150539L,b,train
2109,TRAIN_1943_b_131897814794426506L,b,train
2110,TRAIN_3278_p_131897834017883239L,p,train
2111,TRAIN_3200_f_131897832901886037L,f,train
2112,TRAIN_847_b_131897799226221672L,b,train
2113,TRAIN_151_f_131897779029774122L,f,train
2114,TRAIN_1950_a_131897814891148518L,a,train
2115,VALID_3872_f_131897835437291849L,f,test
2116,TRAIN_448_b_131897793767540902L,b,train
2117,TRAIN_1370_f_131897806623275909L,f,train
2118,TEST_5609_p_131897862436802579L,p,valid
2119,TRAIN_1154_a_131897793823589688L,a,train
2120,TRAIN_5964_a_131897867900305766L,a,train
